Variables,"Tunisia: ARDL (4, 4, 4, 4, 4,4)","Tunisia: ARDL (4, 4, 4, 4, 4,4)","Tunisia: ARDL (4, 4, 4, 4, 4,4)","Tunisia: ARDL (4, 4, 4, 4, 4,4)","Morocco: ARDL (2, 2, 3, 3, 3,4)","Morocco: ARDL (2, 2, 3, 3, 3,4)","Morocco: ARDL (2, 2, 3, 3, 3,4)","Morocco: ARDL (2, 2, 3, 3, 3,4)"
Variables,Coef.,Std. error,t-Stat.,Prob,Coef.,Std. error,t-Stat.,Prob
D (LnGDP per capita (−1)),−5022,268,"−18,716",34,0930,0305,3047,0016
D (LnGDP per capita (−2)),−4367,249,"−17,552",36,–,–,–,–
D (LnGDP per capita (−3)),−3312,178,"−18,619",34,–,–,–,–
D(LnPublic Education Expenditure)),"−0,482",30,"−15,954",40,0553,0221,2503,0037
D (LnPublic Education Expenditure (−1)),1119,54,20815,31,"−0,282",0217,−1303,0229
D (LnPublic Education Expenditure (−2)),"−0,262",19,"−13,969",46,–,–,–,–
D (LnPublic Education Expenditure (−3)),0991,55,17966,35,–,–,–,–
D (GERFPE),−2836,129,"−21,961",29,0886,1282,0691,0509
D (GERFPE (−1)),−1300,113,"−11,477",55,−6203,4273,−1452,0185
D (GERFPE (−2)),"−0,001",82,"−0,007",996,6707,2679,2504,0037
D (GERFPE (−3)),0190,66,2875,213,–,–,–,–
D (GERMPE),0459,71,6496,97,0031,0086,0358,0730
D (GERMPE (−1)),"−0,517",41,"−12,771",50,0268,0247,1084,0310
D (GERMPE (−2)),0109,89,1216,438,"−0,307",0158,−1936,0089
D (GERMPE (−3)),"−0,620",101,−6151,103,–,–,–,–
D (SLE),"−17,122",1013,"−16,899",38,"−15,280",8844,−1728,0122
D (SLE (−1)),8668,997,8694,73,28416,18903,1503,0171
D (SLE (−2)),20336,811,25082,25,"−48,967",15410,−3178,0013
D (SLE (−3)),"−32,374",1406,"−23,018",28,–,–,–,–
D (INFLATION),"−0,002",16,"−0,142",910,0058,0032,1811,0108
D (INFLATION (−1)),−1251,50,"−24,795",26,"−0,055",0027,−2022,0078
D (INFLATION (−2)),"−0,352",19,"−18,804",34,"−0,072",0024,−3055,0016
D (INFLATION (−3)),−1630,72,"−22,519",28,"−0,060",0022,−2698,0027
CointEq (−1),7196,427,16864,38,−2318,0479,−4840,0001
