Panel A. 12-Month Look-back,Panel A. 12-Month Look-back,Panel A. 12-Month Look-back,Panel A. 12-Month Look-back
Empty Cell,Cluster-optimized,Market,Markowitz
Average Monthly Excess Return (%),0.69,0.51,0.84
Standard Deviation (%),4.84,4.48,7.47
Sharpe-ratio,0.48,0.38,0.38
Average Difference in Sharpe-ratio,0,0.10∗∗,0.10∗∗
Z-Statistic,,(3.80),(5.11)
Panel B. 60-Month Look-back,Panel B. 60-Month Look-back,Panel B. 60-Month Look-back,Panel B. 60-Month Look-back
,Cluster-optimized,Market,Markowitz
Average Monthly Excess Return (%),0.75,0.56,0.37
Standard Deviation (%),4.75,4.45,3.98
Sharpe-ratio,0.55,0.45,0.31
Average Difference in Sharpe-ratio,0,0.17∗∗,0.14∗∗
Z-Statistic,,(4.95),(7.63)
Panel C. 120-Month Look-back,Panel C. 120-Month Look-back,Panel C. 120-Month Look-back,Panel C. 120-Month Look-back
,Cluster-optimized,Market,Markowitz
Average Monthly Excess Return (%),0.80,0.67,0.50
Standard Deviation (%),4.41,4.36,3.83
Sharpe-ratio,0.62,0.52,0.45
Average Difference in Sharpe-ratio,0,0.10∗∗,0.07∗∗
Z-Statistic,,(3.61),(2.75)
