Empty Cell,2yr,5yr,7yr,10yr,30yr,50yr
Panel A: Zero-coupon rates,Panel A: Zero-coupon rates,Panel A: Zero-coupon rates,Panel A: Zero-coupon rates,Panel A: Zero-coupon rates,Panel A: Zero-coupon rates,Panel A: Zero-coupon rates
2yr,1.0000,0.9775,0.9546,0.9237,0.8726,0.8480
5yr,,1.0000,0.9955,0.9813,0.9414,0.9148
7yr,,,1.0000,0.9950,0.9637,0.9380
10yr,,,,1.0000,0.9811,0.9570
30yr,,,,,1.0000,0.9873
50yr,,,,,,1.0000
Panel B: Forward rates,Panel B: Forward rates,Panel B: Forward rates,Panel B: Forward rates,Panel B: Forward rates,Panel B: Forward rates,Panel B: Forward rates
2yr,1.0000,0.9383,0.8872,0.8520,0.8608,0.4257
5yr,,1.0000,0.9895,0.9675,0.9071,0.5148
7yr,,,1.0000,0.9920,0.9114,0.5383
10yr,,,,1.0000,0.9215,0.5394
30yr,,,,,1.0000,0.6889
50yr,,,,,,1.0000
