Type,ISIN,Coupon,Issue date,Maturity date,Term,First quote,N obs.
OAT,FR0012634558,0.0,3/23/2015,2/25/2018,2.93,6/9/2015,20
OAT,FR0012938116,1.0,9/7/2015,11/25/2025,10.22,9/1/2015,681
OAT,FR0012968337,0.25,9/21/2015,11/25/2020,5.18,9/15/2015,671
OAT,FR0012993103,1.5,10/5/2015,5/25/2031,15.64,9/29/2015,661
OAT,FR0013101466,0.0,1/25/2016,2/25/2019,3.09,1/19/2016,581
OAT,FR0013131877,0.5,3/7/2016,5/25/2026,10.21,3/1/2016,551
OAT,FR0013154044,1.25,4/19/2016,5/25/2036,20.1,4/13/2016,520
OAT,FR0013154028,1.75,4/19/2016,5/25/2066,50.1,4/13/2016,520
OAT,FR0013157096,0.0,4/25/2016,5/25/2021,5.08,4/20/2016,515
OAT,FR0013200813,0.25,9/5/2016,11/25/2026,10.22,8/30/2016,412
OAT,FR0013219177,0.0,11/21/2016,5/25/2022,5.51,11/15/2016,366
OAT,FR0013232485,0.0,1/23/2017,2/25/2020,3.09,1/17/2017,321
OAT,FR0013234333,1.75,1/31/2017,6/25/2039,22.4,1/25/2017,315
OAT,FR0013250560,1.0,4/10/2017,5/25/2027,10.12,4/4/2017,266
OAT,FR0013257524,2.0,5/25/2017,5/25/2048,31.0,5/17/2017,235
OAT,FR0013283686,0.0,9/25/2017,3/25/2023,5.49,9/19/2017,146
OAT,FR0013286192,0.75,10/9/2017,5/25/2028,10.63,10/2/2017,137
OAT,FR0013311016,0.0,1/22/2018,2/25/2021,3.09,1/16/2018,61
OAT,FR0013313582,1.25,2/5/2018,5/25/2034,16.3,1/29/2018,51
