Type,ISIN,Coupon,Issue date,Maturity date,Term,First quote,N obs.
OAT,FR0000041410,11.6,10/8/1984,10/8/1996,12.0,7/1/1987,1313
OAT,FR0000570095,10.0,6/14/1985,5/27/2000,14.95,7/1/1987,2772
OAT,FR0000043705,9.9,12/13/1985,12/13/1997,12.0,7/1/1987,2614
OAT,FR0000100257,9.8,1/30/1986,1/30/1996,10.0,7/1/1987,2203
OAT,FR0000100240,9.7,1/30/1986,12/13/1997,11.87,7/1/1987,2637
OAT,FR0000570178,7.5,8/25/1986,7/25/2001,14.92,7/31/1989,1876
OAT,FR0000570244,8.0,1/26/1987,11/25/2002,15.83,3/25/2002,97
OAT,FR0000570780,8.5,2/25/1987,12/26/2012,25.83,7/1/1987,6587
OAT,FR0000102469,8.5,3/25/1987,6/25/1997,10.25,7/1/1987,2570
OAT,FR0000570921,8.5,1/25/1989,10/25/2019,30.75,1/6/1989,7862
OAT,FR0000570327,8.25,2/27/1989,2/27/2004,15.0,7/1/1988,3900
OAT,FR0000570038,8.125,12/26/1989,5/25/1999,9.41,1/6/1989,2689
OAT,FR0000570053,8.5,1/1/1990,3/28/2000,10.24,1/4/1990,2659
OAT,FR0000570152,10.0,11/1/1990,2/26/2001,10.32,11/6/1990,2180
OAT,FR0000570145,9.5,1/1/1991,1/25/2001,10.07,1/3/1991,2619
OAT,FR0000570194,8.5,5/1/1991,3/15/2002,10.87,4/24/1991,2349
OAT,FR0000570061,9.5,6/1/1991,4/25/2000,8.9,4/12/1990,2264
BTAN,XB000A112181,9.0,7/12/1991,2/12/1996,4.59,1/8/1991,1325
OAT,FR0000571085,8.5,1/1/1992,4/25/2023,31.31,12/31/1991,6851
BTAN,XB000A112413,8.5,1/13/1992,11/12/1996,4.83,7/19/1991,1384
OAT,FR0000571044,8.25,2/1/1992,4/25/2022,30.23,1/22/1992,6569
OAT,FR0000114308,8.5,3/1/1992,5/12/1997,5.2,4/27/1989,2087
OAT,FR0000570665,8.5,6/1/1992,10/25/2008,16.4,6/2/1992,4278
BTAN,XB000A112728,8.5,7/10/1992,3/12/1997,4.67,1/13/1992,1345
OAT,FR0000110488,9.5,7/20/1992,6/25/1998,5.93,3/3/1988,2664
OAT,FR0000570277,8.5,7/20/1992,4/25/2003,10.76,6/24/1992,2827
OAT,FR0000570285,8.0,7/27/1992,4/25/2003,10.74,2/3/1993,1688
BTAN,XB000A113007,8.5,1/12/1993,11/12/1997,4.83,7/8/1992,1391
OAT,FR0000570301,6.75,4/26/1993,10/25/2003,10.5,1/3/2000,992
BTAN,XB000A113270,8.0,7/12/1993,5/12/1998,4.83,12/31/1992,1394
OAT,FR0000194995,6.0,7/16/1993,7/16/1997,4.0,6/25/1993,550
OAT,FR0000570343,6.0,10/11/1993,4/25/2004,10.54,1/3/2000,894
OAT,FR0000570368,5.5,11/25/1993,4/25/2004,10.41,1/3/2000,1124
BTAN,XB000A113528,5.75,1/12/1994,11/12/1998,4.83,6/25/1993,1383
BTAN,FR0100059486,4.75,2/14/1994,4/12/1999,5.16,1/4/1994,1372
OAT,FR0000571150,6.0,2/25/1994,10/25/2025,31.66,1/24/1994,6312
OAT,FR0000570228,6.75,5/25/1994,4/25/2002,7.92,4/29/1994,1564
OAT,FR0000570400,6.75,6/27/1994,10/25/2004,10.33,1/3/2000,1255
BTAN,XB000A113817,4.5,7/5/1994,5/12/1996,1.85,1/4/1994,614
OAT,FR0000570434,7.5,10/25/1994,4/25/2005,10.5,1/3/2000,1385
