Type,ISIN,Coupon,Issue date,Maturity date,Term,First quote,N obs.
OAT,FR0000187361,5.0,2/6/2001,10/25/2016,15.72,1/16/2001,4112
BTAN,FR0103230423,4.5,4/24/2001,7/12/2006,5.22,4/20/2001,1363
OAT,FR0000187635,5.75,6/12/2001,10/25/2032,31.37,6/7/2001,4391
OAT,FR0000187874,5.0,9/11/2001,10/25/2011,10.12,9/6/2001,2640
BTAN,FR0103536092,4.0,9/25/2001,1/12/2004,2.3,9/17/2001,605
BTAN,FR0103840098,3.75,11/27/2001,1/12/2007,5.13,11/20/2001,1342
OAT,FR0000188328,5.0,3/12/2002,4/25/2012,10.12,3/1/2002,2647
BTAN,FR0104446556,4.75,5/16/2002,7/12/2007,5.16,5/13/2002,1348
OAT,FR0000188690,4.75,9/10/2002,10/25/2012,10.12,9/2/2002,2647
BTAN,FR0104756962,3.5,9/24/2002,1/12/2005,2.3,9/12/2002,610
BTAN,FR0105427795,3.5,1/28/2003,1/12/2008,4.96,1/15/2003,1303
OAT,FR0000188989,4.0,3/11/2003,4/25/2013,10.12,2/28/2003,2648
OAT,FR0000189151,4.25,6/10/2003,4/25/2019,15.87,6/2/2003,3876
BTAN,FR0105760112,3.0,6/24/2003,7/12/2008,5.05,6/16/2003,1325
OAT,FR0010011130,4.0,9/9/2003,10/25/2013,10.13,8/27/2003,2651
BTAN,FR0106589437,3.5,1/22/2004,1/12/2009,4.97,1/16/2004,1301
OAT,FR0010061242,4.0,3/9/2004,4/25/2014,10.13,2/24/2004,2652
BTAN,FR0106589445,2.25,3/23/2004,3/12/2006,1.97,3/12/2004,521
OAT,FR0010070060,4.75,4/6/2004,4/25/2035,31.05,3/23/2004,3660
BTAN,FR0106841887,3.5,6/22/2004,7/12/2009,5.05,6/11/2004,1326
OAT,FR0010112052,4.0,9/7/2004,10/25/2014,10.13,8/26/2004,2650
BTAN,FR0107369672,3.0,11/23/2004,1/12/2010,5.14,11/17/2004,1344
OAT,FR0010163543,3.5,2/8/2005,4/25/2015,10.21,2/1/2005,2667
BTAN,FR0107489959,2.25,2/22/2005,3/12/2007,2.05,2/15/2005,539
OAT,FR0010171975,4.0,2/28/2005,4/25/2055,50.15,2/24/2005,3421
OAT,FR0010192997,3.75,5/10/2005,4/25/2021,15.96,5/3/2005,3375
BTAN,FR0107674006,2.5,6/21/2005,7/12/2010,5.06,6/14/2005,1324
OAT,FR0010216481,3.0,7/12/2005,10/25/2015,10.29,7/7/2005,2685
BTAN,FR0108197569,2.75,11/22/2005,3/12/2008,2.3,11/17/2005,604
BTAN,FR0108354806,3.0,1/24/2006,1/12/2011,4.97,1/17/2006,1301
OAT,FR0010288357,3.25,2/7/2006,4/25/2016,10.21,1/30/2006,2665
BTAN,FR0108847049,3.5,6/20/2006,7/12/2011,5.06,6/9/2006,1328
BTAN,FR0109136137,3.5,7/25/2006,9/12/2008,2.14,7/19/2006,562
OAT,FR0010371401,4.0,9/12/2006,10/25/2038,32.12,8/30/2006,3029
OAT,FR0010415331,3.75,1/9/2007,4/25/2017,10.29,12/29/2006,2688
BTAN,FR0109970386,3.75,1/23/2007,1/12/2012,4.97,1/15/2007,1305
BTAN,FR0110979178,4.0,4/24/2007,9/12/2009,2.39,4/17/2007,629
OAT,FR0010466938,4.25,5/9/2007,10/25/2023,16.46,4/30/2007,2856
BTAN,FR0110979186,4.5,6/26/2007,7/12/2012,5.05,6/18/2007,1324
OAT,FR0010517417,4.25,9/11/2007,10/25/2017,10.12,9/3/2007,2645
