Panel B: Average CDS spreads from 2005 to 2006,Panel B: Average CDS spreads from 2005 to 2006,Panel B: Average CDS spreads from 2005 to 2006,Panel B: Average CDS spreads from 2005 to 2006,Panel B: Average CDS spreads from 2005 to 2006,Panel B: Average CDS spreads from 2005 to 2006,Panel B: Average CDS spreads from 2005 to 2006,Panel B: Average CDS spreads from 2005 to 2006,Panel B: Average CDS spreads from 2005 to 2006,Panel B: Average CDS spreads from 2005 to 2006
Empty Cell,1-year CDS,1-year CDS,1-year CDS,5-year CDS,5-year CDS,5-year CDS,10-year CDS,10-year CDS,10-year CDS
Empty Cell,2006,2005,2006–2005,2006,2005,2006–2005,2006,2005,2006–2005
Treated,14.60***,24.98***,−10.37*,56.33***,65.26***,−8.93,80.17***,90.01***,−9.84
Treated,(3.66),(8.15),(5.54),(13.11),(14.93),(6.12),(15.58),(16.49),(6.58)
Control,14.28***,19.97***,−5.69**,50.38***,56.45***,−6.07,72.07***,78.08***,−6.01
Control,(4.55),(6.15),(2.41),(12.79),(14.32),(3.74),(14.45),(15.73),(4.37)
Diff,0.32,5.00,−4.68,5.95,8.81,−2.86,8.09,11.93,−3.84
Diff,(3.64),(7.46),(4.28),(11.59),(14.41),(5.66),(13.56),(15.70),(6.48)
ATT,,,−4.21,,,−2.43,,,−3.61
ATT,,,(5.72),,,(8.86),,,(9.50)
