ARIMA,AIC,Serial correlation,Serial correlation,ARCH-effect,ARCH-effect,Model significance
ARIMA,AIC,F-stat,P-value,F-stat,P-value,Model significance
110,−7.22,1.51,5.0,5.37,0.0,Not-significant
210,−7.22,1.54,0.05,5.26,0.0,Not-significant
11,−7.22,1.44,0.08,5.38,0.0,Not-significant
12,−7.22,1.5,0.06,5.27,0.0,Not-significant
111,−7.22,1.4,0.08,5.21,0.0,Not-significant
112,−7.22,1.51,0.05,5.31,0.0,Not-significant
211,−7.22,1.53,0.05,5.37,0.0,Not-significant
212,−7.22,1.45,0.08,5.27,0.0,Not-significant
312,−7.22,1.43,0.08,5.33,0.0,Not-significant
213,−7.22,1.45,0.07,5.24,0.0,Not-significant
313,−7.22,1.37,0.11,5.5,0.0,Not-significant
413,−7.22,1.51,0.05,5.22,0.0,Not-significant
314,−7.22,1.48,0.06,5.25,0.0,Not-significant
414,−7.23,1.28,0.16,5.65,0.0,Significant
514,−7.22,1.25,0.18,5.44,0.0,Not-significant
415,−7.23,1.36,0.11,5.48,0.0,Not-significant
515,−7.22,1.55,0.04,5.43,0.0,Not-significant
