ARIMA,AIC,Serial correlation,Serial correlation,ARCH-effect,ARCH-effect,Model significance
ARIMA,AIC,F-stat,P-value,F-stat,P-value,Model significance
110,−5.82,0.93,0.56,35.21,0.0,Significant
210,−5.78,3.77,0.0,54.0,0.0,Not-significant
11,−5.82,0.67,0.88,32.58,0.0,Significant
12,−5.78,3.71,0.0,54.02,0.0,Not-significant
111,−5.82,0.65,0.9,32.88,0.0,Significant
112,−5.82,0.6,0.94,32.98,0.0,Significant
211,−5.82,0.67,0.89,33.29,0.0,Significant
212,−5.82,0.65,0.9,32.97,0.0,Not-significant
312,−5.82,0.63,0.92,32.87,0.0,Not-significant
213,−5.82,0.66,0.89,33.11,0.0,Significant
313,−5.81,0.63,0.92,32.96,0.0,Not-significant
413,−5.82,0.48,0.99,32.56,0.0,Significant
314,−5.81,0.61,0.93,32.67,0.0,Not-significant
414,−5.82,0.47,0.99,32.44,0.0,Not-significant
514,−5.82,0.52,0.97,32.81,0.0,Significant
415,−5.82,0.45,0.99,32.97,0.0,Significant
515,−5.82,0.73,0.83,33.02,0.0,significant
