Coefficients,China,Hong Kong,India,Pakistan,Sri Lanka
ω0,0.0245 (0.0305),0.0470* (0.0242),0.0946*** (0.0268),0.1616*** (0.0275),0.0583*** (0.0180)
ω1,−0.0036 (0.0233),0.0349 (0.0288),0.1269*** (0.0262),0.0437* (0.0256),0.2579*** (0.0229)
ψ_China,,−0.0060 (0.0159),−0.0057 (0.0178),0.0094 (0.0191),0.0124 (0.0111)
ψ_Hong Kong,0.0327 (0.0259),,−0.0057 (0.0262),0.0849*** (0.0251),−0.0194 (0.0126)
ψ_India,−0.0316 (0.0229),0.0346* (0.0201),,0.0130 (0.0190),0.0162 (0.0125)
ψ_Pakistan,−0.0099 (0.0173),0.0053 (0.0165),0.0250 (0.0188),,0.0254*** (0.0090)
ψ_Sri Lanka,0.0119 (0.0210),0.0280** (0.0135),0.0351* (0.0194),−0.0107 (0.0208),
γ0,−0.1035*** (0.0086),−0.0662*** (0.0113),−0.1778*** (0.0231),−0.2207*** (0.0182),−0.3740*** (0.0130)
γ1,0.1649*** (0.0121),0.0835*** (0.0152),0.2605*** (0.0304),0.3606*** (0.0294),0.5258*** (0.0190)
φ,−0.0264*** (0.0075),−0.0302** (0.0128),−0.1115*** (0.0226),−0.0551*** (0.0201),−0.0289* (0.0149)
γ2,0.9783*** (0.0040),0.9752*** (0.0046),0.9078*** (0.0117),0.8897*** (0.0118),0.9094*** (0.0071)
δ_China,,0.0091 (0.0069),0.0227* (0.0116),−0.0338*** (0.0094),0.0057 (0.0134)
δ_Hong Kong,−0.0114 (0.0113),,−0.0755*** (0.0150),−0.0070 (0.0127),0.0034 (0.0157)
δ_India,0.0005 (0.0095),−0.0466*** (0.0118),,−0.0642*** (0.0161),0.1106*** (0.0140)
δ_Pakistan,0.0045 (0.0070),−0.0038 (0.0068),−0.0310** (0.0138),,−0.0407*** (0.0116)
δ_Sri Lanka,0.0024 (0.0098),0.0209** (0.0082),0.0338** (0.0167),0.0016 (0.0136),
