ARIMA,AIC,Serial correlation,Serial correlation,ARCH-effect,ARCH-effect,Model significance
ARIMA,AIC,F-stat,P-value,F-stat,P-value,Model significance
110,−5.17,2.37,0.0,61.59,0.0,Not-significant
210,−5.17,2.43,0.0,61.16,0.0,Not-significant
11,−5.17,2.37,0.0,61.58,0.0,Not-significant
12,−5.17,2.34,0.0,61.23,0.0,Not-significant
111,−5.17,2.36,0.0,61.51,0.0,Not-significant
112,−5.17,1.98,0.0,59.9,0.0,Significant
211,−5.18,2.07,0.0,59.93,0.0,Significant
212,−5.18,1.74,0.01,58.13,0.0,Significant
312,−5.18,1.88,0.0,60.02,0.0,Not-significant
213,−5.17,1.88,0.0,59.88,0.0,Not-significant
313,−5.18,1.46,0.07,56.98,0.0,Significant
413,−5.18,1.69,0.02,57.15,0.0,Not-significant
314,−5.18,1.42,0.08,57.09,0.0,Not-significant
414,−5.18,1.58,0.04,56.53,0.0,Significant
