Pair,Time t˜=16:00,Time t˜=16:00,Time t˜=16:00,Time t˜≠16:00,Time t˜≠16:00,Time t˜≠16:00
Pair,N(t˜),Nd,P(t˜) [%],N(t˜),Nd,P(t˜) [%]
AUDUSD,146 ± 8,1381,10.6 ± 0.6,86 ± 8,1383 ± 1,6.2 ± 0.5
USDCHF,83 ± 5,766,10.8 ± 0.6,54 ± 5,766.0 ± 0.1,7.0 ± 0.7
USDGBP,109 ± 3,777,14.0 ± 0.4,84 ± 10,774 ± 13,10.8 ± 1.2
USDJPY,115 ± 11,768,15.0 ± 1.4,73 ± 7,768.00 ± 0.04,9.5 ± 1.0
USDMXN,72 ± 9,1376,5.2 ± 0.6,54 ± 5,1312 ± 79,4.1 ± 0.5
USDSGD,192 ± 14,1382,13.9 ± 1.0,130 ± 13,1376 ± 10,9.4 ± 0.9
EURCHF,60 ± 12,766,7.9 ± 1.6,36 ± 4,766.00 ± 0.05,4.7 ± 0.5
EURGBP,72 ± 11,766,9.4 ± 1.5,31 ± 4,765.9 ± 0.3,4.0 ± 0.5
EURJPY,70 ± 5,743,9.4 ± 0.7,42 ± 5,743,5.6 ± 0.6
EURSEK,187 ± 8,1384,13.5 ± 0.5,53 ± 5,1384 ± 1,3.8 ± 0.4
EURUSD,51 ± 4,702,7.2 ± 0.5,40 ± 5,702.0 ± 0.3,5.7 ± 0.6
GBPCHF,86 ± 12,738,11.6 ± 1.6,38 ± 4,741 ± 1,5.2 ± 0.6
