Empty Cell,Empty Cell,Empty Cell,Empty Cell,Empty Cell,OLS + H,OLS + H,OLS + H,OLS + H,Empty Cell,Empty Cell,Empty Cell,Empty Cell
Decile,Empty Cell,Empty Cell.1,Empty Cell.2,Empty Cell.3,Pred,Real,Std,SR,Empty Cell.4,Empty Cell.5,Empty Cell.6,Empty Cell.7
L,,,,,−1.13,−0.69,4.99,−0.48,,,,
2,,,,,−0.47,0.12,4.40,0.09,,,,
3,,,,,−0.15,0.31,3.95,0.28,,,,
4,,,,,0.09,0.46,3.68,0.43,,,,
5,,,,,0.30,0.54,3.58,0.53,,,,
6,,,,,0.50,0.63,3.56,0.62,,,,
7,,,,,0.71,0.70,3.58,0.68,,,,
8,,,,,0.94,0.84,3.73,0.78,,,,
9,,,,,1.23,1.00,3.87,0.89,,,,
H,,,,,1.82,1.29,4.27,1.04,,,,
H-L,,,,,3.20,2.24,3.34,2.32,,,,
Decile,OLS3+H,OLS3+H,OLS3+H,OLS3+H,PLS,PLS,PLS,PLS,PCR,PCR,PCR,PCR
Decile,Pred,Real,Std,SR,Pred,Real,Std,SR,Pred,Real,Std,SR
L,−0.32,0.07,4.95,0.05,−0.90,−0.32,5.30,−0.21,−0.82,−0.34,4.98,−0.23
2,−0.07,0.29,3.95,0.25,−0.33,0.16,4.38,0.13,−0.29,0.18,4.30,0.14
3,0.08,0.47,3.37,0.48,−0.04,0.34,3.96,0.29,−0.02,0.35,3.82,0.32
4,0.22,0.48,3.11,0.54,0.19,0.41,3.70,0.38,0.19,0.41,3.70,0.38
5,0.35,0.47,3.08,0.53,0.39,0.45,3.57,0.44,0.39,0.48,3.63,0.46
6,0.47,0.45,3.37,0.47,0.59,0.54,3.64,0.51,0.57,0.51,3.67,0.48
7,0.59,0.52,3.79,0.48,0.80,0.61,3.65,0.58,0.76,0.62,3.73,0.57
8,0.71,0.65,4.39,0.51,1.04,0.77,3.70,0.72,0.98,0.79,3.71,0.73
9,0.85,0.65,4.64,0.49,1.33,0.95,3.73,0.88,1.25,0.94,3.92,0.83
H,1.07,1.16,5.77,0.69,1.91,1.32,4.06,1.13,1.77,1.29,4.29,1.04
H-L,1.66,1.35,4.14,1.13,3.08,1.91,3.58,1.85,2.86,1.89,3.54,1.84
Decile,ENet + H,ENet + H,ENet + H,ENet + H,GLM + H,GLM + H,GLM + H,GLM + H,RF,RF,RF,RF
Decile,Pred,Real,Std,SR,Pred,Real,Std,SR,Pred,Real,Std,SR
L,−0.79,−0.39,5.23,−0.26,−0.73,−0.46,5.36,−0.30,−0.05,0.04,5.08,0.02
2,−0.3,0.20,4.47,0.15,−0.27,0.21,4.48,0.16,0.14,0.20,4.14,0.17
3,−0.04,0.40,3.98,0.35,−0.03,0.39,4.03,0.33,0.26,0.26,4.08,0.22
4,0.16,0.47,3.68,0.44,0.17,0.45,3.68,0.43,0.34,0.44,3.83,0.39
5,0.34,0.54,3.54,0.53,0.34,0.55,3.59,0.53,0.43,0.52,3.88,0.46
6,0.51,0.54,3.49,0.54,0.51,0.57,3.48,0.56,0.58,0.54,3.54,0.53
7,0.69,0.63,3.53,0.62,0.68,0.61,3.60,0.58,0.68,0.54,3.36,0.56
8,0.89,0.70,3.68,0.66,0.86,0.66,3.59,0.64,0.77,0.52,3.44,0.52
9,1.13,0.88,4.05,0.75,1.09,0.95,3.94,0.83,0.88,0.65,3.57,0.63
H,1.58,1.24,4.3,1.00,1.51,1.29,4.16,1.07,1.54,1.52,5.17,1.02
H-L,2.63,1.90,3.64,1.81,2.5,2.01,3.74,1.86,1.85,1.74,2.93,2.06
Decile,GBRT + H,GBRT + H,GBRT + H,GBRT + H,NN1,NN1,NN1,NN1,NN2,NN2,NN2,NN2
Decile,Pred,Real,Std,SR,Pred,Real,Std,SR,Pred,Real,Std,SR
L,−0.26,−0.13,4.81,−0.09,−1.21,−0.69,6.00,−0.40,−1.07,−0.70,5.89,−0.41
2,−0.03,0.34,3.96,0.29,−0.42,0.08,4.58,0.06,−0.27,−0.04,4.52,−0.03
3,0.07,0.47,3.86,0.42,−0.07,0.27,3.83,0.24,0.07,0.20,3.76,0.18
4,0.16,0.44,3.75,0.41,0.18,0.34,3.43,0.34,0.29,0.34,3.41,0.34
5,0.26,0.60,3.90,0.54,0.39,0.42,3.25,0.44,0.48,0.41,3.25,0.44
6,0.38,0.52,3.56,0.51,0.58,0.52,3.20,0.56,0.65,0.55,3.17,0.61
7,0.57,0.57,3.39,0.58,0.78,0.62,3.23,0.66,0.84,0.63,3.24,0.68
8,0.70,0.57,3.46,0.57,1.02,0.72,3.29,0.76,1.05,0.74,3.28,0.78
9,0.85,0.66,4.14,0.55,1.35,0.86,3.56,0.84,1.35,0.94,3.59,0.90
H,1.41,1.16,5.57,0.72,2.67,2.07,6.27,1.15,2.65,2.15,6.24,1.19
H-L,1.94,1.56,3.10,1.74,4.15,3.03,4.45,2.35,3.99,3.11,3.98,2.71
