Empty Cell,AR,AR,AR,AR,AR,AR,AR,AR,AR,AR,AR,AR,AR
Empty Cell,h,1,2,3,4,5,6,7,8,9,10,11,12
Turkey,RMSE,0.159,0.153,0.144,0.150,0.152,0.143,0.144,0.143,0.142,0.143,0.143,0.143
,MAE,0.128,0.121,0.109,0.111,0.111,0.104,0.105,0.105,0.103,0.104,0.105,0.105
FTSE,RMSE,0.065,0.065,0.061,0.061,0.061,0.061,0.061,0.061,0.062,0.061,0.062,0.062
,MAE,0.053,0.053,0.047,0.047,0.047,0.047,0.047,0.047,0.048,0.048,0.048,0.048
MSCI,RMSE,0.055,0.053,0.044,0.043,0.046,0.046,0.045,0.045,0.045,0.044,0.045,0.045
,MAE,0.048,0.046,0.037,0.038,0.040,0.040,0.039,0.038,0.039,0.038,0.038,0.039
LSTAR,LSTAR,LSTAR,LSTAR,LSTAR,LSTAR,LSTAR,LSTAR,LSTAR,LSTAR,LSTAR,LSTAR,LSTAR,LSTAR
Turkey,RMSE,0.204,0.199,0.193,0.187,0.197,0.214,0.202,0.175,0.343,0.320,0.202,0.194
,MAE,0.150,0.142,0.138,0.142,0.139,0.148,0.151,0.137,0.184,0.189,0.161,0.158
FTSE,RMSE,1.580,15.5,13,1580,932,163000,95900,1.6e+07,9.8e+06,1.7e+09,1.0e+09,1.7e+11
,MAE,0.767,4.70,5.710,360,239,37000,23000,3.8e+06,2.3e+06,3.9e+08,2.4e+08,4.0e+10
MSCI,RMSE,0.077,0.082,0.065,0.058,0.060,0.066,0.070,0.065,0.055,0.065,0.058,0.054
,MAE,0.059,0.061,0.050,0.048,0.046,0.053,0.054,0.054,0.048,0.054,0.044,0.042
Diebold–Mariano: AR and LSTAR,Diebold–Mariano: AR and LSTAR,Diebold–Mariano: AR and LSTAR,Diebold–Mariano: AR and LSTAR,Diebold–Mariano: AR and LSTAR,Diebold–Mariano: AR and LSTAR,Diebold–Mariano: AR and LSTAR,Diebold–Mariano: AR and LSTAR,Diebold–Mariano: AR and LSTAR,Diebold–Mariano: AR and LSTAR,Diebold–Mariano: AR and LSTAR,Diebold–Mariano: AR and LSTAR,Diebold–Mariano: AR and LSTAR,Diebold–Mariano: AR and LSTAR
Turkey,,−0.468,−1.08,0,0,−0.995,−0.446,0,0,−0.517,−0.907,0,0
FTSE,,−1,−0.92,−0.845,−0.775,−0.707,−0.642,−0.577,−0.513,−0.447,−0.378,−0.301,0
MSCI,,−3.38*,0,−3.09**,−4.13*,−2.64**,0,−2.35**,−4.46*,0,−2.1***,0,0
