Variables,ROA,ROA,Cash,Cash,LEV,LEV
Variables,(1),(2),(3),(4),(5),(6)
High Pledge,−0.012,−0.012,−0.022∗,−0.020∗∗,0.053∗∗,0.034∗∗
High Pledge,(−1.08),(−1.14),(−1.82),(−1.97),(2.33),(2.11)
Dum2018,−0.014∗∗,−0.011,−0.008,−0.004,0.006,0.002
Dum2018,(−2.10),(−1.44),(−1.50),(−0.50),(0.91),(0.21)
High Pledge × Dum2018,−0.063∗∗∗,−0.055∗∗,−0.013,−0.003,0.050∗∗,0.041∗∗
High Pledge × Dum2018,(−2.94),(−2.44),(−1.56),(−0.21),(2.53),(2.19)
SOE,,−0.012,,0.024,,−0.028
SOE,,(−0.70),,(1.06),,(−0.17)
Size,,0.002,,−0.010,,0.016
Size,,(0.16),,(−1.13),,(1.33)
B/M,,−0.002,,−0.022,,−0.006
B/M,,(−0.06),,(−1.33),,(−0.12)
(Lag) LEV,,−0.023,,−0.010,,0.882∗∗∗
(Lag) LEV,,(−0.77),,(−0.44),,(22.88)
(Lag) Cash,,0.027,,0.665∗∗∗,,−0.102∗
(Lag) Cash,,(0.61),,(13.18),,(−1.69)
(Lag) ROA,,0.536∗∗∗,,0.057,,−0.140
(Lag) ROA,,(3.39),,(0.51),,(−0.74)
Indep,,0.070,,0.084,,−0.198
Indep,,(0.70),,(1.39),,(−1.49)
Inst,,0.050,,−0.002,,−0.007
Inst,,(1.36),,(−0.08),,(−0.14)
Top1,,0.044,,0.079∗∗,,0.008
Top1,,(1.27),,(2.39),,(0.19)
Constant,−0.081,−0.061,0.265∗∗,0.210,0.342∗∗∗,−0.026
Constant,(−0.91),(−0.36),(2.42),(1.53),(4.01),(−0.12)
Ind,Yes,Yes,Yes,Yes,Yes,Yes
Observations,672,672,672,672,672,672
Adj. R2,0.07,0.11,0.07,0.50,0.14,0.51
