Variables,RPT Net Inflow (Lending),RPT Net Inflow (Lending),RPT Net Inflow (Total),RPT Net Inflow (Total),Private Placement,Private Placement
Variables,(1),(2),(3),(4),(5),(6)
Pledged,−0.009∗∗∗,−0.010∗∗,0.005,0.011,−0.038,−0.039∗
Pledged,(−2.64),(−2.57),(0.34),(0.74),(−1.63),(−1.68)
Post,−0.001,−0.002,−0.002,−0.017,0.094∗∗∗,0.094∗∗∗
Post,(−0.21),(−0.39),(−0.16),(−1.16),(5.04),(3.38)
Pledged × Post,0.012∗∗,0.011∗∗,0.021,0.013,0.035∗,0.042∗∗
Pledged × Post,(2.33),(2.09),(1.35),(0.78),(1.75),(2.16)
SOE,,0.025∗∗∗,,−0.030,,−0.027
SOE,,(2.90),,(−1.22),,(−1.20)
Size,,−0.006,,−0.007,,−0.015
Size,,(−1.38),,(−0.67),,(1.47)
B/M,,−0.029∗∗∗,,−0.081∗∗∗,,−0.062∗∗
B/M,,(−2.80),,(−2.83),,(−2.05)
LEV,,0.034∗∗,,0.148∗∗∗,,0.230∗∗∗
LEV,,(2.48),,(3.46),,(4.64)
Cash,,−0.013,,−0.038,,0.050
Cash,,(−0.81),,(−0.71),,(1.02)
ROA,,−0.020,,−0.252∗,,−0.075
ROA,,(−0.29),,(−1.73),,(−0.94)
Indep,,0.001,,0.012,,−0.030
Indep,,(0.04),,(0.12),,(−0.24)
Inst,,−0.002,,−0.019,,−0.013
Inst,,(−0.19),,(−0.65),,(−0.38)
Top1,,0.034∗∗,,0.074∗,,−0.056
Top1,,(2.09),,(1.67),,(−1.05)
Constant,0.078,0.138,0.175∗∗,0.232,,
Constant,(1.12),(1.57),(2.21),(1.24),,
Year and Industry FEs,Yes,Yes,Yes,Yes,Yes,Yes
Observations,2248,2248,2248,2248,2248,2248
Adj. R2,0.04,0.09,0.03,0.06,,
Pseudo R2,,,,,0.05,0.09
