Variables,"CAR[-1,1]",Pledged
Variables,(1),(2)
Cash,−0.030∗∗∗,−0.330∗∗
Cash,(−3.99),(−1.99)
Current Ratio,−0.002∗∗,−0.042∗∗
Current Ratio,(−2.23),(−2.35)
PPET,−0.023∗∗∗,−0.745∗∗
PPET,(−3.53),(−2.49)
B/M,−0.009∗∗∗,−0.494∗∗∗
B/M,(−2.68),(−2.93)
SOE,−0.005,−0.702∗∗∗
SOE,(−1.31),(−3.97)
Natural Person,0.002,0.644∗∗∗
Natural Person,(0.69),(3.91)
Size,−0.006∗∗∗,0.047
Size,(−5.10),(0.86)
LEV,−0.011,0.516∗
LEV,(−1.59),(1.90)
ROA,−0.015,−2.376∗∗
ROA,(−0.69),(−2.45)
Indep,0.019,0.182
Indep,(1.25),(0.28)
Inst,0.005,0.284
Inst,(1.26),(1.51)
Top1,−0.004,0.874∗∗∗
Top1,(−0.65),(3.40)
Constant,0.118∗∗∗,
Constant,(5.47),
Industry FE,Yes,Yes
Observations,2094,2094
Adj. R2,0.14,
Pseudo R2,,0.17
