Noosa and Sunshine Coast Region,Noosa and Sunshine Coast Region.1,Noosa and Sunshine Coast Region.2,Noosa and Sunshine Coast Region.3,Noosa and Sunshine Coast Region.4,Noosa and Sunshine Coast Region.5,Noosa and Sunshine Coast Region.6,Noosa and Sunshine Coast Region.7,Noosa and Sunshine Coast Region.8
"$4,245.72","$3,647.93",$597.79,14.08,"$3,997.98","$2,631.87","$1,366.11",34.17,(+20.09)
"$4,251.18","$3,705.76",$545.42,12.83,"$3,999.62","$2,575.36","$1,424.26",35.61,(+22.78)
"$4,298.75","$3,702.95",$595.80,13.86,"$4,479.12","$2,782.88","$1,696.24",37.87,(+24.01)
"$4,501.72","$3,871.93",$629.79,13.99,"$4,498.85","$2,862.17","$1,636.68",36.38,(+22.39)
"$4,544.27","$3,956.25",$588.02,12.94,"$4,564.62","$2,739.04","$1,828.58",40.06,(+27.12)
"$4,587.10","$3,990.78",$596.32,13.00,"$4,599.22","$2,793.10","$1,806.12",39.27,(+26.27)
"$4,601.67","$2,887.14",$588.09,12.78,"$4,668.41","$3,201.13","$1,467.28",31.43,(+18.65)
"$4,658.91","$4,013.58",$637.80,13.69,"$4,895.78","$3,992.31","$1,903.47",38.88,(+25.19)
"$4,684.27","$4,235.52",$448.75,9.58,"$4,897.69","$3,060.57","$1,837.12",37.51,(+27.93)
"$4,875.43","$4,286.00",$589.43,12.09,"$5,009.52","$3,165.02","$1,844.50",36.82,(+24.73)
"$4,984.04","$3,996.70",$987.34,19.81,"$5,129.65","$3,087.54","$2,042.11",39.81,(+20.13)
"$5,122.43","$3,967.84","$1,154.59",22.54,"$5,139.61","$3,133.82","$2,065.60",40.19,(+17.65)
Median,Median,Median,Median,Median,Median,Median,Median,Median
"$4,612.95","$3,955.15",$657.80,14.26,"$4,665.00","$3,008.93","$1,656.07",35.50,(+21.24)
Total Median,Total Median,Total Median,Total Median,Total Median,Total Median,Total Median,Total Median,Total Median
"$3,611.55","$3,109.55",$502.00,13.90,"$3,684.31","$2,615.86","$1,068.45",29.00,(+15.10)
